	T89-1	T89-2	250-5	250-8	250-13
Potri.001G054300.0	0	0	0	0	0
Potri.001G054400.0	107	69	61	30	64
Potri.001G054500.0	254	340	210	160	259
Potri.001G054600.0	81	104	8	1	8
Potri.001G054700.0	20	32	26	16	28
Potri.001G054800.0	8	18	4	6	8
Potri.001G054900.0	73	86	48	18	71
Potri.001G055000.0	46	44	12	16	33
Potri.001G055100.0	2508	2912	841	751	1082
Potri.001G055200.0	533	850	241	238	427
Potri.001G055300.0	1338	1997	1079	741	2203
Potri.001G055400.0	232	313	146	135	244
Potri.001G055500.0	0	0	0	0	0
Potri.001G055600.0	0	0	0	0	0
Potri.001G055700.0	0	0	0	0	0
Potri.001G055800.0	0	0	0	0	0
Potri.001G055900.0	122	241	126	96	256
Potri.001G056000.0	115	146	96	47	164
Potri.001G056100.0	257	334	155	113	271
Potri.001G056200.0	0	0	5	0	0
Potri.001G056300.0	492	469	136	274	408
Potri.001G056400.0	0	0	0	0	0
Potri.001G056500.0	0	0	0	0	2
Potri.001G056600.0	2	1	2	0	2
Potri.001G056700.0	1	3	1	3	1
Potri.001G056800.0	103	136	85	59	94
Potri.001G056900.0	1	1	0	1	0
Potri.001G057000.0	0	1	1	1	3
Potri.001G057100.0	79	139	92	40	78
Potri.001G057200.0	70	83	56	37	85
Potri.001G057300.0	247	288	242	263	355
Potri.001G057400.0	116	176	147	85	198
Potri.001G057500.0	555	705	403	295	618
Potri.001G057600.0	0	1	0	0	4
Potri.001G057700.0	7	23	11	7	21
Potri.001G057800.0	227	265	202	126	370
Potri.001G057900.0	0	1	0	0	0
Potri.001G058000.0	0	0	0	0	0
Potri.001G058100.0	113	90	73	40	72
Potri.001G058200.0	12	19	13	3	23
Potri.001G058300.0	0	0	0	0	0
Potri.001G058400.0	0	1	0	0	0
Potri.001G058500.0	0	0	0	0	0
Potri.001G058600.0	56	63	19	10	32
Potri.001G058700.0	32	42	22	17	22
Potri.001G058800.0	0	0	4	0	7
Potri.001G058900.0	0	1	1	0	1
Potri.001G059000.0	13	16	14	10	25
Potri.001G059100.0	1	8	0	3	3
Potri.001G059200.0	1	3	2	0	3
Potri.001G059300.0	281	305	168	128	237
Potri.001G059400.0	244	291	145	102	208
Potri.001G059500.0	4	1	17	18	42
Potri.001G059600.0	0	0	0	0	0
Potri.001G059700.0	216	247	202	139	267
Potri.001G059800.0	3	1	3	8	4
Potri.001G059900.0	492	395	288	197	434
Potri.001G060000.0	61	49	46	30	56
Potri.001G060100.0	38	50	64	32	38
Potri.001G060200.0	122	102	79	57	93
Potri.001G060300.0	31	20	28	14	45
Potri.001G060400.0	0	0	1	0	0
Potri.001G060500.0	12	40	9	4	8
Potri.001G060600.0	3	1	2	0	2
Potri.001G060700.0	0	0	0	0	0
Potri.001G060800.0	156	193	95	67	151
Potri.001G060900.0	0	0	0	0	0
Potri.001G061000.0	185	215	105	88	166
Potri.001G061100.0	1	2	1	0	8
Potri.001G061200.0	93	54	21	20	50
Potri.001G061300.0	0	0	0	0	0
Potri.001G061400.0	349	455	188	153	294
Potri.001G061500.0	24	39	24	6	27
Potri.001G061600.0	3	4	4	4	7
Potri.001G061700.0	0	0	0	0	0
Potri.001G061800.0	58	50	51	36	42
Potri.001G061900.0	3	8	6	4	7
Potri.001G062000.0	130	149	64	62	136
Potri.001G062100.0	3	1	4	0	2
Potri.001G062200.0	0	0	0	0	0
Potri.001G062300.0	0	3	1	0	1
Potri.001G062400.0	0	0	0	0	0
Potri.001G062500.0	0	0	1	1	1
Potri.001G062600.0	3	4	4	2	8
Potri.001G062700.0	104	112	56	29	60
Potri.001G062800.0	35	35	22	14	32
Potri.001G062900.0	0	0	0	0	0
Potri.001G063000.0	1	3	2	1	1
Potri.001G063100.0	11	9	1	2	6
Potri.001G063200.0	0	0	0	1	1
Potri.001G063300.0	0	0	0	0	0
Potri.001G063400.0	0	0	0	0	0
Potri.001G063500.0	0	0	0	0	0
Potri.001G063600.0	0	0	0	0	0
Potri.001G063700.0	0	0	0	0	0
Potri.001G063800.0	0	2	1	1	5
Potri.001G063900.0	0	0	0	0	0
Potri.001G064000.0	0	0	0	0	1
Potri.001G064100.0	0	0	0	0	0
Potri.001G064200.0	0	0	0	0	0
Potri.001G064300.0	0	0	0	0	0
Potri.001G064400.0	0	0	0	0	0
Potri.001G064500.0	0	0	0	0	0
Potri.001G064600.0	0	0	0	0	0
Potri.001G064700.0	0	0	0	0	0
Potri.001G064800.0	0	0	0	0	0
Potri.001G064900.0	0	0	0	0	0
Potri.001G065000.0	0	0	0	0	0
Potri.001G065100.0	0	0	0	0	0
Potri.001G065200.0	2	1	1	4	3
Potri.001G065300.0	0	3	1	0	2
Potri.001G065400.0	0	0	1	0	0
Potri.001G065500.0	0	0	0	0	0
Potri.001G065600.0	159	284	163	110	228
Potri.001G065700.0	0	0	0	0	0
