OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
610	793f84fcecdda6e0630b1279721c7cec6523ffdc	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
611	795927b27eec5ff1dd1e3dc8844933f60d84197d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
612	796726bd30e65aa1891d1ee2357caf1f7dee2d20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
613	79f9eb1da128d42fb4ed2176e25116e43bced16d	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	unidentified
614	7a39c9a5a48a386e4eb0d3d0a78492b7daf38cfe	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
615	7a701a9fee393d6a474c54bf097cacf04bdc1e2b	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
616	7a8fa5a42a8170746d77ff955b73d32145788ff6	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	unidentified
617	7ab8f1e5850a2d33ccb24a2b4bd1a0af833d7f98	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
618	7acc3e6a4f0e5a52bcf31f9277a4b095de2726ce	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
619	7b0c797da0472ef8c97d6f6abe52af530aca380e	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
620	7b2b5d53bbbc9821e7f48c0dc0e8f7d451938c41	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
621	7b64a6b9f0a464f8376962a541d85c2a024ef941	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_gladioli
622	7b9dbec3b7b8359f5524cadb75f865ff4e2f2d4e	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
623	7bb2884364307d13c3a61030aba6e9c9191cf6d8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
624	7bd3df5cf331b92dbf25fdb8fae1d9337d4eaeee	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Leotiomycetes_fam_Incertae_sedis	Meliniomyces	Meliniomyces_variabilis
625	7c15b3740494189535dc90f2b972010f39fa4c54	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
626	7c8eae8f70085e7d4bd83f8574796e2bbb7d1ae9	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
627	7cb3402e0cc3b83e4379f45967c883f0a2d7c6a1	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
628	7cd19c6def19c8d896b0477032ed20f7a789b918	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
629	7cfa72bbeeac649695dbb93fcaa1d973544b72f7	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
630	7d40392173b9de01f4683384321c3f326396d049	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
631	7d966c194bb1cf585da2293d0bad773fc361fc3f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
632	7dd958347149b359ab4cdc81efecd864f004cef7	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	unidentified
633	7dfe118ac1da412da643cd13f94b0e689036d1ca	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
634	7e2c15380467dbc4c19bc759a723462b7b498101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
635	7e438db04161aaa644f2adf01df2d7a5fdeeffa6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_muscaria
636	7e5ccd467a3bdf6dabbe79e43d48346b11eb9419	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	unidentified
637	7e7299525dcf0f830bb623be1f463d92a096e014	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
