ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
342	1	0	2	0	2	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	37	102	29	54	55	22	2	1	2	1	0	2
343	0	0	0	4	60	86	1	1	8	3	3	2	0	4	0	93	1	0	1	5	0	0	0	0	200	95	127	2	54	170	23	37	13	38	23	40	164	343	159	520	920	1538
344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	16	6	1	54	120	106
345	804	409	679	1	17	17	0	0	0	19	65	38	0	0	0	0	0	0	0	0	0	36	25	36	5	1	4	0	1	1	5	1	10	3	1	1	0	0	0	0	0	1
346	4	5	4	0	9	7	0	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	8	7	2	0	1	1	1	0	0	1	0
347	0	0	0	2	2	5	0	0	0	0	0	1	19	29	11	1	2	0	0	0	0	0	0	0	1	1	0	0	3	1	3	3	0	0	1	0	0	1	2	3	4	9
348	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	28	100	14	2	0	0
349	4	1	2	0	3	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	7	5	4	5	4	3	16	19	11	7	3	6	2	0	1	0	0	1
350	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	12	8	0	0	0	0	0	0	0
351	0	0	0	0	0	0	0	0	0	3	0	0	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	1	0	0	0	0	0	0	0	0	0	1
352	6	2	2	0	12	7	0	0	0	1	4	2	2	5	0	0	0	0	0	0	0	0	0	0	2	4	2	9	16	9	16	11	15	15	13	15	0	1	2	0	1	3
353	2	0	1	0	4	4	1	1	0	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	2	6	2	14	10	11	1	2	3	0	0	0	0	1	0
354	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	69	922	1767	1725
355	11	7	11	1	95	84	10	3	6	48	26	44	4	7	6	3	2	2	1	1	1	5	6	7	56	46	52	44	73	59	225	131	117	46	44	29	50	37	21	7	17	26
356	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	22	15	8
357	3	0	3	0	0	0	1	2	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	7	39	5	114	67	37	57	66	26	2	2	0	0	0	1
358	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	1	175	702	1431
